train.count:63722200|#timestamp:1605779562239
train.count:82086000|#timestamp:1605779562321
train.count:124754500|#timestamp:1605779562445
train.count:88020100|#timestamp:1605779562534
train.count:106272700|#timestamp:1605779562639
train.count:82242400|#timestamp:1605779562722
train.count:59742300|#timestamp:1605779562782
train.count:93549300|#timestamp:1605779562875
train.count:67855800|#timestamp:1605779562942
train.count:54353200|#timestamp:1605779562997
train.count:64476600|#timestamp:1605779563062
train.count:110821200|#timestamp:1605779563173
train.count:52582200|#timestamp:1605779563225
train.count:67339500|#timestamp:1605779563293
train.count:65706500|#timestamp:1605779563358
train.count:55095800|#timestamp:1605779563413
train.count:151388000|#timestamp:1605779563565
train.count:61345800|#timestamp:1605779563626
train.count:78958800|#timestamp:1605779563705
train.count:91408000|#timestamp:1605779563796
train.count:93993800|#timestamp:1605779563890
train.count:55756100|#timestamp:1605779563946
train.count:47695400|#timestamp:1605779563994
train.count:49618800|#timestamp:1605779564044
train.count:152369200|#timestamp:1605779564196
train.count:69241900|#timestamp:1605779564265
train.count:51358000|#timestamp:1605779564317
train.count:51078700|#timestamp:1605779564368
train.count:1447260600|#timestamp:1605779565815
train.count:77634900|#timestamp:1605779565893
train.count:146182100|#timestamp:1605779566038
train.count:74628400|#timestamp:1605779566113
train.count:66213200|#timestamp:1605779566180
train.count:67465100|#timestamp:1605779566247
train.count:66653200|#timestamp:1605779566313
train.count:81828500|#timestamp:1605779566395
train.count:152041500|#timestamp:1605779566548
train.count:89625200|#timestamp:1605779566638
train.count:76559400|#timestamp:1605779566713
train.count:114538400|#timestamp:1605779566828
train.count:74613800|#timestamp:1605779566903
train.count:66223900|#timestamp:1605779566969
train.count:61555700|#timestamp:1605779567031
train.count:71683000|#timestamp:1605779567102
train.count:69644800|#timestamp:1605779567172
train.count:79557600|#timestamp:1605779567252
train.count:63885200|#timestamp:1605779567316
train.count:63694200|#timestamp:1605779567379
train.count:48140400|#timestamp:1605779567427
train.count:49254000|#timestamp:1605779567476
train.count:50228400|#timestamp:1605779567527
train.count:99746000|#timestamp:1605779567626
train.count:58314600|#timestamp:1605779567684
train.count:57764600|#timestamp:1605779567742
train.count:55001000|#timestamp:1605779567798
train.count:63047300|#timestamp:1605779567861
train.count:64102000|#timestamp:1605779567925
train.count:51224900|#timestamp:1605779567976
train.count:68097400|#timestamp:1605779568044
train.count:67113100|#timestamp:1605779568111
train.count:67340100|#timestamp:1605779568178
train.count:62096900|#timestamp:1605779568241
train.count:127762300|#timestamp:1605779568368
train.count:119012600|#timestamp:1605779568487
train.count:76337000|#timestamp:1605779568564
train.count:72575700|#timestamp:1605779568636
train.count:55749100|#timestamp:1605779568692
train.count:120384700|#timestamp:1605779568813
train.count:55283000|#timestamp:1605779568868
train.count:48629700|#timestamp:1605779568917
train.count:49276600|#timestamp:1605779568965
train.count:51795400|#timestamp:1605779569017
train.count:42711700|#timestamp:1605779569060
train.count:62636100|#timestamp:1605779569123
train.count:51889300|#timestamp:1605779569175
train.count:59961600|#timestamp:1605779569235
train.count:63232700|#timestamp:1605779569298
train.count:48722100|#timestamp:1605779569346
train.count:64451100|#timestamp:1605779569411
train.count:118357600|#timestamp:1605779569529
train.count:100635700|#timestamp:1605779569630
train.count:58499700|#timestamp:1605779569689
train.count:57096600|#timestamp:1605779569745
train.count:64065300|#timestamp:1605779569810
train.count:74472100|#timestamp:1605779569884
train.count:70469900|#timestamp:1605779569955
train.count:57596800|#timestamp:1605779570013
train.count:46991700|#timestamp:1605779570060
train.count:45994600|#timestamp:1605779570105
train.count:44091800|#timestamp:1605779570149
train.count:41339200|#timestamp:1605779570191
train.count:72360700|#timestamp:1605779570263
train.count:63349900|#timestamp:1605779570327
train.count:49408800|#timestamp:1605779570376
train.count:47692800|#timestamp:1605779570424
train.count:80901500|#timestamp:1605779570504
train.count:45321600|#timestamp:1605779570550
train.count:44682900|#timestamp:1605779570594
train.count:42532600|#timestamp:1605779570637
train.count:50883300|#timestamp:1605779570687
train.count:42734700|#timestamp:1605779570730
train.count:43459300|#timestamp:1605779570774
train.count:42169100|#timestamp:1605779570816
train.count:41731300|#timestamp:1605779570858
train.count:39365400|#timestamp:1605779570898
train.count:41183000|#timestamp:1605779570939
train.count:42229300|#timestamp:1605779570981
train.count:42777300|#timestamp:1605779571023
train.count:40777800|#timestamp:1605779571064
train.count:39798700|#timestamp:1605779571104
train.count:39016700|#timestamp:1605779571143
train.count:44187300|#timestamp:1605779571187
train.count:40996200|#timestamp:1605779571228
train.count:38486600|#timestamp:1605779571267
train.count:38774500|#timestamp:1605779571306
train.count:37638600|#timestamp:1605779571344
train.count:100170200|#timestamp:1605779571443
train.count:56644600|#timestamp:1605779571500
train.count:74321400|#timestamp:1605779571574
train.count:50188600|#timestamp:1605779571625
train.count:46406400|#timestamp:1605779571671
train.count:47700300|#timestamp:1605779571719
train.count:41859600|#timestamp:1605779571761
train.count:271898500|#timestamp:1605779572032
train.count:37943200|#timestamp:1605779572070
train.count:119690400|#timestamp:1605779572190
train.count:45437900|#timestamp:1605779572236
train.count:49954300|#timestamp:1605779572285
train.count:45831500|#timestamp:1605779572331
train.count:44781800|#timestamp:1605779572376
train.count:43843600|#timestamp:1605779572420
train.count:41510200|#timestamp:1605779572461
train.count:44930900|#timestamp:1605779572507
train.count:43596200|#timestamp:1605779572550
train.count:42877600|#timestamp:1605779572593
train.count:40263600|#timestamp:1605779572634
train.count:39598400|#timestamp:1605779572672
train.count:38902700|#timestamp:1605779572711
train.count:39479300|#timestamp:1605779572751
train.count:43592100|#timestamp:1605779572795
train.count:39935500|#timestamp:1605779572835
train.count:46783400|#timestamp:1605779572881
train.count:47942900|#timestamp:1605779572929
train.count:47833600|#timestamp:1605779572977
train.count:50156500|#timestamp:1605779573027
train.count:42940000|#timestamp:1605779573070
train.count:41454800|#timestamp:1605779573112
train.count:40343200|#timestamp:1605779573152
train.count:39653800|#timestamp:1605779573192
