train.count:29918600|#timestamp:1603523429493
train.count:29232600|#timestamp:1603523429522
train.count:28157800|#timestamp:1603523429551
train.count:27800700|#timestamp:1603523429579
train.count:30752400|#timestamp:1603523429609
train.count:29051100|#timestamp:1603523429638
train.count:49081500|#timestamp:1603523429687
train.count:28085800|#timestamp:1603523429715
train.count:34356500|#timestamp:1603523429750
train.count:28489400|#timestamp:1603523429778
train.count:33239100|#timestamp:1603523429811
train.count:32162900|#timestamp:1603523429844
train.count:29849300|#timestamp:1603523429873
train.count:30912600|#timestamp:1603523429904
train.count:34089000|#timestamp:1603523429938
train.count:34812300|#timestamp:1603523429974
train.count:33505900|#timestamp:1603523430007
train.count:527990800|#timestamp:1603523430535
train.count:74310400|#timestamp:1603523430609
train.count:100175500|#timestamp:1603523430709
train.count:32346400|#timestamp:1603523430741
train.count:31861500|#timestamp:1603523430773
train.count:28553400|#timestamp:1603523430802
train.count:28404000|#timestamp:1603523430830
train.count:28726900|#timestamp:1603523430859
train.count:30082300|#timestamp:1603523430890
train.count:27482700|#timestamp:1603523430917
train.count:28950600|#timestamp:1603523430945
train.count:30695500|#timestamp:1603523430976
train.count:28673700|#timestamp:1603523431005
train.count:28938000|#timestamp:1603523431034
train.count:26976200|#timestamp:1603523431060
train.count:28786100|#timestamp:1603523431090
train.count:30862400|#timestamp:1603523431120
train.count:31975900|#timestamp:1603523431152
train.count:27382600|#timestamp:1603523431180
train.count:28571000|#timestamp:1603523431208
train.count:27063700|#timestamp:1603523431236
train.count:28035700|#timestamp:1603523431264
train.count:28610700|#timestamp:1603523431292
train.count:29873300|#timestamp:1603523431322
train.count:28231100|#timestamp:1603523431351
train.count:30416800|#timestamp:1603523431381
train.count:28595200|#timestamp:1603523431409
train.count:27867500|#timestamp:1603523431437
train.count:29002800|#timestamp:1603523431466
train.count:29382200|#timestamp:1603523431495
train.count:31198200|#timestamp:1603523431526
train.count:31780500|#timestamp:1603523431559
train.count:37286300|#timestamp:1603523431596
train.count:43035500|#timestamp:1603523431639
train.count:47509400|#timestamp:1603523431686
train.count:42539700|#timestamp:1603523431729
train.count:35022400|#timestamp:1603523431764
train.count:34372800|#timestamp:1603523431798
train.count:37152400|#timestamp:1603523431836
train.count:33758600|#timestamp:1603523431869
train.count:36247800|#timestamp:1603523431905
train.count:32386000|#timestamp:1603523431937
train.count:31881100|#timestamp:1603523431970
train.count:33018200|#timestamp:1603523432003
train.count:31621300|#timestamp:1603523432034
train.count:36133000|#timestamp:1603523432070
train.count:43937000|#timestamp:1603523432114
train.count:46086100|#timestamp:1603523432160
train.count:46024200|#timestamp:1603523432207
train.count:41037100|#timestamp:1603523432248
train.count:38860300|#timestamp:1603523432286
train.count:37926100|#timestamp:1603523432324
train.count:38992100|#timestamp:1603523432363
train.count:38455000|#timestamp:1603523432402
train.count:38110200|#timestamp:1603523432440
train.count:38794000|#timestamp:1603523432478
train.count:45954300|#timestamp:1603523432524
train.count:38546900|#timestamp:1603523432563
train.count:33788700|#timestamp:1603523432597
train.count:31806900|#timestamp:1603523432629
train.count:32451000|#timestamp:1603523432661
train.count:32658500|#timestamp:1603523432694
train.count:31815400|#timestamp:1603523432726
train.count:32885200|#timestamp:1603523432759
train.count:34639600|#timestamp:1603523432793
train.count:40498700|#timestamp:1603523432834
train.count:38860700|#timestamp:1603523432873
train.count:41444000|#timestamp:1603523432914
train.count:40144400|#timestamp:1603523432954
train.count:37429300|#timestamp:1603523432992
train.count:39038700|#timestamp:1603523433030
train.count:39474000|#timestamp:1603523433070
train.count:37232500|#timestamp:1603523433107
train.count:39462900|#timestamp:1603523433146
train.count:179093200|#timestamp:1603523433326
train.count:95208300|#timestamp:1603523433421
train.count:37014700|#timestamp:1603523433458
train.count:32757500|#timestamp:1603523433491
train.count:50490800|#timestamp:1603523433541
train.count:27205000|#timestamp:1603523433569
train.count:26161900|#timestamp:1603523433595
train.count:30655200|#timestamp:1603523433625
train.count:30910800|#timestamp:1603523433657
train.count:28908900|#timestamp:1603523433686
train.count:28501600|#timestamp:1603523433714
train.count:26996800|#timestamp:1603523433741
train.count:27783800|#timestamp:1603523433769
train.count:30622700|#timestamp:1603523433799
train.count:34702500|#timestamp:1603523433834
train.count:31386100|#timestamp:1603523433865
train.count:29529000|#timestamp:1603523433895
train.count:30160100|#timestamp:1603523433925
train.count:27995300|#timestamp:1603523433953
train.count:27006500|#timestamp:1603523433980
train.count:37226600|#timestamp:1603523434017
train.count:39464300|#timestamp:1603523434057
train.count:39193300|#timestamp:1603523434096
train.count:38241900|#timestamp:1603523434134
train.count:35469000|#timestamp:1603523434170
train.count:35222700|#timestamp:1603523434205
train.count:33496600|#timestamp:1603523434239
train.count:32277700|#timestamp:1603523434271
train.count:32404900|#timestamp:1603523434303
train.count:31395400|#timestamp:1603523434334
train.count:33402600|#timestamp:1603523434368
train.count:31586700|#timestamp:1603523434400
train.count:34439500|#timestamp:1603523434434
train.count:36559800|#timestamp:1603523434470
train.count:37719100|#timestamp:1603523434508
train.count:41563400|#timestamp:1603523434549
train.count:45796600|#timestamp:1603523434595
train.count:47311500|#timestamp:1603523434643
train.count:43031000|#timestamp:1603523434686
train.count:41100800|#timestamp:1603523434727
train.count:38099700|#timestamp:1603523434765
train.count:34060800|#timestamp:1603523434799
train.count:36521200|#timestamp:1603523434835
train.count:33777700|#timestamp:1603523434870
train.count:31104700|#timestamp:1603523434901
train.count:34278600|#timestamp:1603523434935
train.count:38558400|#timestamp:1603523434974
train.count:38208400|#timestamp:1603523435012
train.count:39502900|#timestamp:1603523435051
train.count:38479400|#timestamp:1603523435089
train.count:40612700|#timestamp:1603523435130
train.count:37060900|#timestamp:1603523435167
train.count:40755000|#timestamp:1603523435209
train.count:39297900|#timestamp:1603523435248
train.count:40209800|#timestamp:1603523435288
train.count:39205200|#timestamp:1603523435327
train.count:37561900|#timestamp:1603523435365
train.count:38825600|#timestamp:1603523435403
train.count:32999000|#timestamp:1603523435437
train.count:33396600|#timestamp:1603523435469
train.count:31402600|#timestamp:1603523435501
train.count:32664500|#timestamp:1603523435534
train.count:31265400|#timestamp:1603523435565
train.count:34114200|#timestamp:1603523435599
train.count:33369300|#timestamp:1603523435633
train.count:29649200|#timestamp:1603523435662
train.count:30447100|#timestamp:1603523435693
train.count:27448900|#timestamp:1603523435720
train.count:29588400|#timestamp:1603523435749
train.count:31003200|#timestamp:1603523435781
train.count:30622800|#timestamp:1603523435811
train.count:29361100|#timestamp:1603523435840
train.count:29230100|#timestamp:1603523435870
train.count:31122800|#timestamp:1603523435900
train.count:30197100|#timestamp:1603523435931
train.count:30569800|#timestamp:1603523435962
train.count:35108900|#timestamp:1603523435997
train.count:40258500|#timestamp:1603523436037
train.count:40168500|#timestamp:1603523436077
train.count:40271800|#timestamp:1603523436117
train.count:38160800|#timestamp:1603523436155
train.count:31327300|#timestamp:1603523436187
train.count:29868700|#timestamp:1603523436217
train.count:27921000|#timestamp:1603523436245
train.count:28302100|#timestamp:1603523436273
train.count:31248900|#timestamp:1603523436305
train.count:29147400|#timestamp:1603523436333
train.count:28912000|#timestamp:1603523436362
train.count:27731500|#timestamp:1603523436390
train.count:27766900|#timestamp:1603523436418
train.count:30123300|#timestamp:1603523436448
train.count:29061500|#timestamp:1603523436477
train.count:33573000|#timestamp:1603523436511
train.count:39000600|#timestamp:1603523436550
train.count:37911200|#timestamp:1603523436588
train.count:33201400|#timestamp:1603523436621
train.count:39825600|#timestamp:1603523436660
train.count:35950300|#timestamp:1603523436697
train.count:36315900|#timestamp:1603523436733
train.count:40805900|#timestamp:1603523436773
train.count:33303400|#timestamp:1603523436807
train.count:33510200|#timestamp:1603523436841
train.count:32260100|#timestamp:1603523436873
train.count:33460100|#timestamp:1603523436906
train.count:33187000|#timestamp:1603523436940
train.count:32986100|#timestamp:1603523436973
train.count:35157100|#timestamp:1603523437008
train.count:30951100|#timestamp:1603523437038
train.count:33027700|#timestamp:1603523437071
train.count:31720500|#timestamp:1603523437104
train.count:29712900|#timestamp:1603523437133
train.count:32290900|#timestamp:1603523437165
train.count:29129500|#timestamp:1603523437194
train.count:30318100|#timestamp:1603523437225
train.count:33028800|#timestamp:1603523437258
train.count:219952800|#timestamp:1603523437478
train.count:37706700|#timestamp:1603523437516
train.count:128162400|#timestamp:1603523437644
train.count:29648100|#timestamp:1603523437673
train.count:35145200|#timestamp:1603523437708
train.count:32136600|#timestamp:1603523437740
train.count:28552000|#timestamp:1603523437769
train.count:31106900|#timestamp:1603523437800
train.count:33394000|#timestamp:1603523437833
train.count:32445200|#timestamp:1603523437866
